iter	Logloss	Accuracy	Recall	Precision	F1
349	0.1435506033	0.995	0.9942622951	0.9958949097	0.9950779327
350	0.143204346	0.9945833333	0.9942622951	0.9950779327	0.9946699467
351	0.1427690875	0.995	0.9942622951	0.9958949097	0.9950779327
352	0.1424695569	0.995	0.9942622951	0.9958949097	0.9950779327
353	0.142088038	0.995	0.9942622951	0.9958949097	0.9950779327
354	0.1415573205	0.9954166667	0.9942622951	0.9967132293	0.9954862536
355	0.1410613703	0.9954166667	0.9942622951	0.9967132293	0.9954862536
356	0.1406400789	0.9954166667	0.9942622951	0.9967132293	0.9954862536
357	0.1403733163	0.9954166667	0.9942622951	0.9967132293	0.9954862536
358	0.1400152143	0.995	0.993442623	0.9967105263	0.9950738916
359	0.1396422987	0.9958333333	0.9950819672	0.9967159278	0.9958982773
360	0.1392184178	0.9954166667	0.9950819672	0.9958982773	0.9954899549
361	0.1386867867	0.9954166667	0.9950819672	0.9958982773	0.9954899549
362	0.1382018837	0.9958333333	0.9950819672	0.9967159278	0.9958982773
363	0.1378555997	0.9958333333	0.9950819672	0.9967159278	0.9958982773
364	0.1372165687	0.9958333333	0.9950819672	0.9967159278	0.9958982773
365	0.1365801101	0.99625	0.9959016393	0.9967186218	0.9963099631
366	0.135982304	0.99625	0.9959016393	0.9967186218	0.9963099631
367	0.135504087	0.9958333333	0.9959016393	0.9959016393	0.9959016393
368	0.1351565591	0.99625	0.9959016393	0.9967186218	0.9963099631
369	0.134397297	0.9966666667	0.9959016393	0.9975369458	0.9967186218
370	0.1340116219	0.9966666667	0.9959016393	0.9975369458	0.9967186218
371	0.1337393621	0.9966666667	0.9959016393	0.9975369458	0.9967186218
372	0.1330962372	0.9958333333	0.9942622951	0.9975328947	0.9958949097
373	0.1323194289	0.9966666667	0.9975409836	0.995908347	0.9967239967
374	0.1315390444	0.99625	0.9959016393	0.9967186218	0.9963099631
375	0.1310435448	0.9958333333	0.9950819672	0.9967159278	0.9958982773
376	0.1303168546	0.9954166667	0.993442623	0.9975308642	0.9954825462
377	0.1299856696	0.9954166667	0.993442623	0.9975308642	0.9954825462
378	0.1297069861	0.9954166667	0.9942622951	0.9967132293	0.9954862536
379	0.1292611427	0.9954166667	0.9942622951	0.9967132293	0.9954862536
380	0.1288215857	0.9958333333	0.9942622951	0.9975328947	0.9958949097
381	0.1284623602	0.995	0.9926229508	0.9975288303	0.9950698439
382	0.1279451341	0.9958333333	0.9926229508	0.9991749175	0.9958881579
383	0.127426538	0.9958333333	0.993442623	0.9983525535	0.9958915366
384	0.1272730099	0.9954166667	0.993442623	0.9975308642	0.9954825462
385	0.1269886018	0.9954166667	0.9926229508	0.9983511954	0.9954788327
